,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2021-01-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,,0.0
2021-01-13,0.15384615384615385,0.0,0.0,0.0,0.0,,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,,0.0
2021-01-14,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,,0.0
2021-01-15,0.13333333333333333,0.0,0.0,0.0,0.0,,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,,0.0
2021-01-16,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,,0.0,0.007352941176470588,0.0,0.0,0.0,0.0014347202295552368,,0.0
2021-01-18,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,,0.0,0.006944444444444444,0.0,0.0,0.0,0.0013550135501355014,,0.0
2021-01-19,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,,0.0,0.006578947368421052,0.0,0.0,0.0,0.0012836970474967909,,0.0
2021-01-20,0.1,0.0,0.0,0.0,0.05,,0.0,0.00625,0.0,0.0,0.0,0.0012195121951219512,,0.0
2021-01-21,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,,0.0,0.005952380952380952,0.0,0.0,0.0,0.0011614401858304297,,0.0
2021-01-22,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,,0.0,0.005681818181818182,0.0,0.0,0.0,0.0011086474501108647,,0.0
2021-01-23,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,,0.0,0.005434782608695652,0.0,0.0,0.0,0.0010604453870625664,,0.0
2021-01-24,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0010162601626016261,0.0,0.0
2021-01-25,0.08,0.0,0.0,0.0,0.04,,0.0,0.005,0.0,0.0,0.0,0.000975609756097561,,0.0
2021-01-26,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0009380863039399625,0.0,0.0
2021-01-27,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035,,0.0,0.004629629629629629,0.0,0.0,0.0,0.000903342366757001,,0.0
2021-01-28,0.07142857142857142,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.004464285714285714,0.0,0.0,0.0,0.0008710801393728223,0.0,0.0
2021-01-29,0.06896551724137931,0.0,0.0,0.0,0.034482758620689655,,0.0,0.004310344827586207,0.0,0.0,0.0,0.0008410428931875526,,0.0
2021-01-30,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0008130081300813008,0.0,0.0
2021-01-31,0.06666666666666667,0.0,,0.0,0.06666666666666667,0.0,0.0,0.004166666666666667,0.0,,0.0,0.0016260162601626016,0.0,0.0
2021-02-01,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-02,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-03,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-04,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-05,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-06,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-07,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,0.0,0.0
2021-02-08,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-09,0.06666666666666667,0.0,,0.0,0.06666666666666667,0.0,0.0,0.004166666666666667,0.0,,0.0,0.0016260162601626016,0.0,0.0
2021-02-10,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,,0.0,0.004166666666666667,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-11,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,0.0,0.0
2021-02-12,0.0,0.0,0.0,0.0,0.06666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-13,0.0,0.0,0.0,0.0,0.06666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,,0.0
2021-02-14,0.0,0.0,,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,,0.0,0.0016260162601626016,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0016260162601626016,0.0,0.0
2021-02-16,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0008130081300813008,0.0,0.0
2021-02-17,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0006289308176100629,0.0008130081300813008,0.0,0.0
2021-02-18,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0006289308176100629,0.0008130081300813008,0.0,0.0
