,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,,0.0,0.016627846790890268,0.01098901098901099,0.02569916855631141,0.00468384074941452,0.003401360544217687,,0.0
2021-01-08,0.375,0.125,0.375,0.25,0.125,,0.125,0.014549365942028984,0.009615384615384616,0.028736772486772484,0.004098360655737705,0.002976190476190476,,0.006944444444444444
2021-01-09,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,,0.1111111111111111,0.012932769726247986,0.008547008547008548,0.025543797766019987,0.0036429872495446266,0.0026455026455026454,,0.006172839506172839
2021-01-10,0.3,0.1,0.3,0.2,0.1,,0.1,0.011639492753623188,0.007692307692307693,0.022989417989417987,0.003278688524590164,0.0023809523809523807,,0.005555555555555555
2021-01-11,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.01421772068511199,0.006993006993006993,0.020899470899470897,0.0029806259314456036,0.0021645021645021645,0.0,0.00505050505050505
2021-01-12,0.3333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333,,0.08333333333333333,0.013032910628019324,0.006410256410256411,0.01915784832451499,0.00273224043715847,0.001984126984126984,,0.004629629629629629
2021-01-13,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,,0.07692307692307693,0.015876532887402452,0.00591715976331361,0.01768416768416768,0.0025220680958385876,0.0018315018315018315,,0.004273504273504273
2021-01-14,0.5,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,,0.07142857142857142,0.018313923395445134,0.005494505494505495,0.016421012849584277,0.00234192037470726,0.0017006802721088435,,0.003968253968253968
2021-01-15,0.4666666666666667,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,,0.06666666666666667,0.017092995169082126,0.011794871794871795,0.015326278659611992,0.002185792349726776,0.0015873015873015873,,0.0037037037037037034
2021-01-16,0.4375,0.125,0.1875,0.1875,0.0625,0.0,0.0625,0.016024682971014493,0.011057692307692308,0.014368386243386242,0.0030737704918032786,0.001488095238095238,0.0,0.003472222222222222
2021-01-17,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.058823529411764705,,0.058823529411764705,0.015082054560954817,0.010407239819004526,0.013523187052598817,0.002892960462873674,0.0014005602240896359,,0.00326797385620915
2021-01-18,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,,0.05555555555555555,0.01702194041867955,0.009829059829059829,0.012771898883009994,0.00273224043715847,0.0013227513227513227,,0.0030864197530864196
2021-01-19,0.42105263157894735,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.05263157894736842,,0.05263157894736842,0.016126048817696415,0.00931174089068826,0.012099693678641046,0.0025884383088869713,0.0012531328320802004,,0.0029239766081871343
2021-01-20,0.4,0.1,0.15,0.15,0.05,,0.05,0.015319746376811594,0.008846153846153847,0.011494708994708993,0.0024590163934426227,0.0011904761904761904,,0.0027777777777777775
2021-01-21,0.38095238095238093,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.047619047619047616,,0.047619047619047616,0.01459023464458247,0.008424908424908426,0.010947341899722851,0.00234192037470726,0.0011337868480725624,,0.0026455026455026454
2021-01-22,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.045454545454545456,,0.09090909090909091,0.013927042160737813,0.008041958041958043,0.010449735449735448,0.0022354694485842027,0.0010822510822510823,,0.005366161616161616
2021-01-23,0.34782608695652173,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.043478260869565216,,0.08695652173913043,0.013321518588531821,0.007692307692307693,0.009995399125833908,0.0021382751247327157,0.0010351966873706003,,0.005132850241545894
2021-01-24,0.3333333333333333,0.08333333333333333,0.125,0.125,0.041666666666666664,0.0,0.08333333333333333,0.012766455314009661,0.0073717948717948725,0.009578924162257495,0.0020491803278688526,0.000992063492063492,0.0,0.004918981481481482
2021-01-25,0.4,0.12,0.12,0.12,0.04,,0.08,0.015734057971014494,0.01279120879120879,0.009195767195767195,0.0019672131147540984,0.0009523809523809524,,0.004722222222222222
2021-01-26,0.38461538461538464,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.0,0.07692307692307693,0.015128901895206243,0.012299239222316145,0.00884208384208384,0.0018915510718789407,0.0009157509157509158,0.0,0.00454059829059829
2021-01-27,0.37037037037037035,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.037037037037037035,,0.1111111111111111,0.014568572195383789,0.011843711843711843,0.011601019008426415,0.004290629427241449,0.0008818342151675485,,0.007221430832541943
2021-01-28,0.39285714285714285,0.10714285714285714,0.14285714285714285,0.21428571428571427,0.03571428571428571,0.0,0.10714285714285714,0.015040329537612146,0.011420722135007848,0.011186696900982614,0.0041373926619828255,0.0008503401360544217,0.0,0.006963522588522589
2021-01-29,0.3793103448275862,0.10344827586206896,0.1724137931034483,0.2413793103448276,0.06896551724137931,,0.10344827586206896,0.014521697484591038,0.011026904130352405,0.014249224594052179,0.004377865711952767,0.0015247478301665491,,0.006723401119952844
2021-01-30,0.36666666666666664,0.1,0.2,0.23333333333333334,0.06666666666666667,0.0,0.1,0.014037640901771337,0.010659340659340658,0.01932980599647266,0.004231936854887675,0.001473922902494331,0.0,0.006499287749287749
2021-01-31,0.43333333333333335,0.1,,0.23333333333333334,0.06666666666666667,0.0,0.1,0.019593196457326892,0.010659340659340658,,0.004231936854887675,0.001473922902494331,0.0,0.006499287749287749
2021-02-01,0.43333333333333335,0.1,0.16666666666666666,0.26666666666666666,0.06666666666666667,,0.1,0.019593196457326892,0.010659340659340658,0.014567901234567898,0.005422413045363865,0.001473922902494331,,0.006499287749287749
2021-02-02,0.43333333333333335,0.1,0.16666666666666666,0.26666666666666666,0.1,,0.1,0.01973122268230964,0.010659340659340658,0.014567901234567898,0.005422413045363865,0.0017612792243334114,,0.006499287749287749
2021-02-03,0.43333333333333335,0.1,0.16666666666666666,0.3333333333333333,0.1,,0.1,0.01973122268230964,0.010659340659340658,0.014567901234567898,0.007442615065565885,0.0017612792243334114,,0.006499287749287749
2021-02-04,0.4,0.1,0.16666666666666666,0.3333333333333333,0.06666666666666667,,0.1,0.01834233379342075,0.010659340659340658,0.014567901234567898,0.007442615065565885,0.0009676284306826178,,0.006499287749287749
