,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-04,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-10,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-11,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-17,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-18,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-24,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-25,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-22,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-23,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-02,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-03,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-04,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-05,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-07,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-08,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-09,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-10,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-11,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-12,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-13,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-14,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-15,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-17,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-18,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-19,0.0,0.0,0.0,0.0,0.0,0.0,3.4694469519536144e-19,9.830099697201907e-19,0.0,0.0,0.0,0.0
2021-09-20,,,0.0,,,,,,0.0,,,
