,AFD,CDUCSU,FDP,GRUENE,LINKE,OTHER,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,OTHER - norm,SPD - norm
2021-01-01,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,
2021-01-07,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,,0.14285714285714285,0.011705685618729098,0.01098901098901099,0.02040816326530612,0.014818923754675601,0.0021008403361344537,,0.014285714285714287
2021-01-08,0.25,0.125,0.125,0.625,0.125,,0.125,0.01024247491638796,0.009615384615384616,0.017857142857142856,0.012966558285341151,0.001838235294117647,,0.0125
2021-01-09,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.2222222222222222,,0.1111111111111111,0.022993311036789296,0.008547008547008548,0.02976190476190476,0.011525829586969911,0.003198932155021633,,0.011111111111111112
2021-01-10,0.7,0.1,0.2,0.6,0.2,,0.1,0.03069397993311037,0.007692307692307693,0.026785714285714284,0.013821522490341886,0.0028790389395194696,,0.01
2021-01-11,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.0,0.09090909090909091,0.02790361812100943,0.006993006993006993,0.02848288075560803,0.017349709440980663,0.0026173081268358813,0.0,0.009090909090909092
2021-01-12,0.5833333333333334,0.08333333333333333,0.25,0.75,0.16666666666666666,,0.08333333333333333,0.02557831661092531,0.006410256410256411,0.02610930735930736,0.017226651643650264,0.002399199116266225,,0.008333333333333333
2021-01-13,0.6153846153846154,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.15384615384615385,,0.07692307692307693,0.02745690764085413,0.00591715976331361,0.0241008991008991,0.015901524594138704,0.0022146453380919,,0.007692307692307693
2021-01-14,0.5714285714285714,0.07142857142857142,0.21428571428571427,0.6428571428571429,0.14285714285714285,,0.07142857142857142,0.025495699952221694,0.005494505494505495,0.022379406307977738,0.014765701408843082,0.0020564563853710497,,0.0071428571428571435
2021-01-15,0.5333333333333333,0.06666666666666667,0.2,0.6,0.13333333333333333,,0.06666666666666667,0.023795986622073582,0.005128205128205128,0.02088744588744589,0.01378132131492021,0.0019193592930129798,,0.006666666666666667
2021-01-16,0.5,0.0625,0.1875,0.5625,0.125,0.0,0.0625,0.02230873745819398,0.004807692307692308,0.01958198051948052,0.012919988732737697,0.0017993993371996685,0.0,0.00625
2021-01-17,0.47058823529411764,0.058823529411764705,0.17647058823529413,0.6470588235294118,0.11764705882352941,,0.058823529411764705,0.020996458784182572,0.004524886877828055,0.018430099312452253,0.016517287870463367,0.001693552317364394,,0.0058823529411764705
2021-01-18,0.4444444444444444,0.05555555555555555,0.16666666666666666,0.6111111111111112,0.1111111111111111,,0.05555555555555555,0.019829988851727983,0.004273504273504274,0.017406204906204908,0.015599660766548736,0.0015994660775108165,,0.005555555555555556
2021-01-19,0.42105263157894735,0.05263157894736842,0.15789473684210525,0.631578947368421,0.10526315789473684,,0.10526315789473684,0.018786305227952826,0.004048582995951417,0.016490088858509912,0.0161281536546791,0.0015152836523786683,,0.00931174089068826
2021-01-20,0.4,0.05,0.15,0.6,0.1,,0.1,0.017846989966555184,0.0038461538461538464,0.015665584415584417,0.015321745971945144,0.0014395194697597348,,0.008846153846153847
2021-01-21,0.38095238095238093,0.047619047619047616,0.14285714285714285,0.6190476190476191,0.09523809523809523,,0.09523809523809523,0.01699713330148113,0.003663003663003663,0.014919604205318491,0.015372779145802559,0.0013709709235806998,,0.008424908424908426
2021-01-22,0.36363636363636365,0.045454545454545456,0.13636363636363635,0.5909090909090909,0.09090909090909091,,0.09090909090909091,0.016224536333231985,0.0034965034965034965,0.014241440377804015,0.014674016457356987,0.0013086540634179406,,0.008041958041958043
2021-01-23,0.34782608695652173,0.043478260869565216,0.13043478260869565,0.5652173913043478,0.08695652173913043,,0.08695652173913043,0.015519121710047988,0.003344481605351171,0.013622247317899492,0.014036015741819728,0.001251756060660639,,0.007692307692307693
2021-01-24,0.3333333333333333,0.041666666666666664,0.125,0.5833333333333334,0.08333333333333333,0.0,0.125,0.014872491638795988,0.0032051282051282055,0.01305465367965368,0.01505374585514134,0.0011995995581331124,0.0,0.010576923076923076
2021-01-25,0.36,0.04,0.12,0.56,0.12,,0.12,0.01601672240802676,0.003076923076923077,0.012532467532467532,0.014451596020935686,0.0015152519394441516,,0.010153846153846154
2021-01-26,0.34615384615384615,0.038461538461538464,0.11538461538461539,0.6153846153846154,0.15384615384615385,0.0,0.11538461538461539,0.015400694623102652,0.002958579881656805,0.01205044955044955,0.015177816686797133,0.0022419023750542273,0.0,0.009763313609467455
2021-01-27,0.3333333333333333,0.037037037037037035,0.1111111111111111,0.5925925925925926,0.14814814814814814,,0.1111111111111111,0.014830298525950702,0.002849002849002849,0.011604136604136605,0.01461567532802687,0.0021588689537559223,,0.009401709401709401
2021-01-28,0.35714285714285715,0.03571428571428571,0.10714285714285714,0.5714285714285714,0.14285714285714285,0.0,0.10714285714285714,0.01529270849923024,0.0027472527472527475,0.011189703153988869,0.014093686923454482,0.002081766491121782,0.0,0.009065934065934065
2021-01-29,0.3448275862068966,0.034482758620689655,0.10344827586206896,0.5517241379310345,0.13793103448275862,,0.10344827586206896,0.014765373723394716,0.0026525198938992045,0.0108038513210927,0.013607697719197431,0.00200998143970379,,0.008753315649867373
2021-01-30,0.3333333333333333,0.03333333333333333,0.1,0.5333333333333333,0.13333333333333333,0.0,0.1,0.014273194599281558,0.002564102564102564,0.010443722943722944,0.013154107795224183,0.0019429820583803303,0.0,0.008461538461538461
2021-01-31,0.3333333333333333,0.03333333333333333,,0.5333333333333333,0.13333333333333333,0.0,0.1,0.014273194599281558,0.002564102564102564,,0.013154107795224183,0.0019429820583803303,0.0,0.008461538461538461
2021-02-01,0.3333333333333333,0.03333333333333333,0.06666666666666667,0.5,0.13333333333333333,,0.1,0.014273194599281558,0.002564102564102564,0.005681818181818182,0.011963631604747994,0.0019429820583803303,,0.008461538461538461
2021-02-02,0.3,0.03333333333333333,0.06666666666666667,0.5,0.16666666666666666,,0.1,0.012823919236962718,0.002564102564102564,0.005681818181818182,0.011963631604747994,0.0022303383802194108,,0.008461538461538461
2021-02-03,0.3,0.03333333333333333,0.06666666666666667,0.5,0.16666666666666666,,0.1,0.012823919236962718,0.002564102564102564,0.005681818181818182,0.011963631604747994,0.0022303383802194108,,0.008461538461538461
2021-02-04,0.3333333333333333,0.03333333333333333,0.06666666666666667,0.43333333333333335,0.16666666666666666,,0.1,0.014490585903629385,0.002564102564102564,0.005681818181818182,0.010705769969527868,0.0022303383802194108,,0.008461538461538461
