,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,topic
2017-12-01,2.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-12-02,2.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-12-03,2.0,0.0,0.0,1.0,2.0,2.0,Gender
2017-12-04,2.0,0.0,0.0,1.0,2.0,1.0,Gender
2017-12-05,2.0,0.0,0.0,1.0,0.0,1.0,Gender
2017-12-06,2.0,0.0,0.0,1.0,0.0,1.0,Gender
2017-12-07,2.0,0.0,0.0,1.0,1.0,1.0,Gender
2017-12-08,1.0,0.0,0.0,1.0,1.0,1.0,Gender
2017-12-09,1.0,0.0,0.0,1.0,1.0,0.0,Gender
2017-12-10,1.0,0.0,0.0,1.0,1.0,0.0,Gender
2017-12-11,1.0,0.0,0.0,1.0,1.0,0.0,Gender
2017-12-12,1.0,0.0,0.0,1.0,1.0,1.0,Gender
2017-12-13,1.0,0.0,0.0,1.0,1.0,1.0,Gender
2017-12-14,1.0,0.0,0.0,1.0,1.0,1.0,Gender
2017-12-15,1.0,0.0,0.0,0.0,1.0,1.0,Gender
2017-12-16,1.0,0.0,0.0,0.0,1.0,1.0,Gender
2017-12-17,1.0,0.0,0.0,0.0,1.0,1.0,Gender
2017-12-18,2.0,0.0,0.0,0.0,1.0,1.0,Gender
2017-12-19,2.0,0.0,0.0,0.0,1.0,1.0,Gender
2017-12-20,2.0,1.0,0.0,0.0,1.0,1.0,Gender
2017-12-21,3.0,1.0,0.0,0.0,0.0,1.0,Gender
2017-12-22,3.0,1.0,0.0,0.0,0.0,1.0,Gender
2017-12-23,4.0,1.0,1.0,0.0,0.0,1.0,Gender
2017-12-24,3.0,1.0,1.0,0.0,0.0,1.0,Gender
2017-12-25,3.0,1.0,1.0,0.0,0.0,1.0,Gender
2017-12-26,3.0,1.0,1.0,0.0,0.0,0.0,Gender
2017-12-27,3.0,1.0,1.0,0.0,0.0,0.0,Gender
2017-12-28,3.0,1.0,1.0,0.0,0.0,0.0,Gender
2017-12-29,3.0,1.0,1.0,0.0,0.0,0.0,Gender
2017-12-30,3.0,1.0,1.0,0.0,0.0,0.0,Gender
2017-12-31,3.0,1.0,1.0,0.0,0.0,0.0,Gender
2018-01-01,2.0,1.0,1.0,0.0,0.0,0.0,Gender
2018-01-02,2.0,1.0,1.0,0.0,0.0,0.0,Gender
2018-01-03,8.0,0.0,1.0,0.0,3.0,0.0,Gender
2018-01-04,7.0,1.0,1.0,0.0,3.0,0.0,Gender
2018-01-05,7.0,1.0,1.0,0.0,3.0,0.0,Gender
2018-01-06,7.0,1.0,0.0,0.0,3.0,0.0,Gender
2018-01-07,7.0,1.0,0.0,0.0,3.0,0.0,Gender
2018-01-08,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-09,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-10,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-11,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-12,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-13,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-14,7.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-01-15,7.0,1.0,0.0,3.0,4.0,0.0,Gender
2018-01-16,7.0,1.0,0.0,3.0,4.0,0.0,Gender
2018-01-17,1.0,1.0,0.0,3.0,1.0,0.0,Gender
2018-01-18,1.0,0.0,0.0,3.0,1.0,0.0,Gender
2018-01-19,1.0,0.0,0.0,4.0,1.0,0.0,Gender
2018-01-20,0.0,0.0,0.0,4.0,1.0,0.0,Gender
2018-01-21,0.0,0.0,0.0,4.0,1.0,0.0,Gender
2018-01-22,0.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-23,1.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-24,1.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-25,1.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-26,1.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-27,1.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-28,1.0,0.0,0.0,3.0,0.0,0.0,Gender
2018-01-29,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-01-30,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-01-31,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-02-01,2.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-02-02,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-03,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-04,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-05,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-06,6.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-07,7.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-08,7.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-09,7.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-10,8.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-11,8.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-12,8.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-13,8.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-14,9.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-15,9.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-16,8.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-17,10.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-18,10.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-19,10.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-20,6.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-21,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-22,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-23,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-24,4.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-25,4.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-02-26,4.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-02-27,4.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-02-28,3.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-03-01,2.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-03-02,2.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-03-03,1.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-03-04,2.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-03-05,3.0,2.0,0.0,1.0,0.0,0.0,Gender
2018-03-06,3.0,2.0,0.0,1.0,0.0,0.0,Gender
2018-03-07,3.0,2.0,0.0,2.0,3.0,1.0,Gender
2018-03-08,3.0,2.0,1.0,5.0,5.0,2.0,Gender
2018-03-09,3.0,2.0,1.0,5.0,5.0,2.0,Gender
2018-03-10,3.0,2.0,1.0,5.0,5.0,2.0,Gender
2018-03-11,3.0,2.0,1.0,5.0,5.0,2.0,Gender
2018-03-12,3.0,1.0,1.0,5.0,5.0,2.0,Gender
2018-03-13,5.0,1.0,1.0,5.0,5.0,2.0,Gender
2018-03-14,5.0,1.0,1.0,5.0,5.0,2.0,Gender
2018-03-15,6.0,1.0,1.0,6.0,5.0,2.0,Gender
2018-03-16,7.0,1.0,1.0,5.0,5.0,4.0,Gender
2018-03-17,6.0,1.0,1.0,5.0,5.0,4.0,Gender
2018-03-18,5.0,1.0,1.0,7.0,5.0,4.0,Gender
2018-03-19,4.0,0.0,1.0,7.0,5.0,4.0,Gender
2018-03-20,4.0,0.0,1.0,7.0,5.0,4.0,Gender
2018-03-21,4.0,0.0,1.0,6.0,2.0,3.0,Gender
2018-03-22,4.0,0.0,0.0,3.0,0.0,2.0,Gender
2018-03-23,4.0,0.0,0.0,4.0,0.0,2.0,Gender
2018-03-24,4.0,0.0,0.0,4.0,0.0,2.0,Gender
2018-03-25,4.0,0.0,0.0,4.0,0.0,2.0,Gender
2018-03-26,4.0,0.0,1.0,4.0,0.0,2.0,Gender
2018-03-27,2.0,0.0,1.0,4.0,0.0,2.0,Gender
2018-03-28,2.0,0.0,1.0,4.0,0.0,2.0,Gender
2018-03-29,1.0,0.0,1.0,3.0,0.0,2.0,Gender
2018-03-30,0.0,0.0,1.0,3.0,0.0,0.0,Gender
2018-03-31,0.0,0.0,1.0,3.0,0.0,0.0,Gender
2018-04-01,0.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-04-02,0.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-04-03,1.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-04-04,1.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-04-05,1.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-04-06,1.0,0.0,1.0,0.0,0.0,0.0,Gender
2018-04-07,1.0,0.0,1.0,0.0,0.0,0.0,Gender
2018-04-08,1.0,0.0,1.0,0.0,0.0,0.0,Gender
2018-04-09,2.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-04-10,2.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-04-11,2.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-04-12,2.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-04-13,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-14,5.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-15,5.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-16,5.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-17,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-18,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-19,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-20,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-21,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-22,4.0,1.0,0.0,1.0,0.0,0.0,Gender
2018-04-23,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-04-24,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-04-25,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-04-26,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-04-27,1.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-04-28,0.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-04-29,0.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-04-30,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-01,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-02,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-03,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-04,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-05,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-06,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-07,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-08,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-09,0.0,1.0,0.0,0.0,0.0,0.0,Gender
2018-05-10,1.0,1.0,0.0,0.0,1.0,0.0,Gender
2018-05-11,1.0,1.0,0.0,0.0,1.0,0.0,Gender
2018-05-12,1.0,1.0,0.0,1.0,1.0,0.0,Gender
2018-05-13,1.0,1.0,0.0,1.0,1.0,0.0,Gender
2018-05-14,1.0,0.0,3.0,1.0,1.0,0.0,Gender
2018-05-15,3.0,0.0,3.0,1.0,1.0,0.0,Gender
2018-05-16,3.0,0.0,3.0,1.0,1.0,0.0,Gender
2018-05-17,3.0,0.0,3.0,1.0,1.0,0.0,Gender
2018-05-18,3.0,0.0,3.0,1.0,1.0,0.0,Gender
2018-05-19,3.0,0.0,3.0,1.0,1.0,0.0,Gender
2018-05-20,5.0,1.0,3.0,1.0,1.0,0.0,Gender
2018-05-21,5.0,2.0,3.0,1.0,1.0,0.0,Gender
2018-05-22,5.0,2.0,3.0,1.0,1.0,0.0,Gender
2018-05-23,5.0,2.0,3.0,1.0,1.0,0.0,Gender
2018-05-24,4.0,2.0,3.0,2.0,0.0,0.0,Gender
2018-05-25,4.0,2.0,3.0,2.0,0.0,0.0,Gender
2018-05-26,4.0,2.0,3.0,2.0,0.0,0.0,Gender
2018-05-27,4.0,2.0,3.0,2.0,1.0,0.0,Gender
2018-05-28,4.0,2.0,0.0,2.0,1.0,0.0,Gender
2018-05-29,2.0,2.0,0.0,2.0,1.0,1.0,Gender
2018-05-30,2.0,2.0,0.0,2.0,1.0,1.0,Gender
2018-05-31,2.0,2.0,0.0,2.0,1.0,1.0,Gender
2018-06-01,2.0,2.0,0.0,2.0,1.0,1.0,Gender
2018-06-02,2.0,2.0,0.0,2.0,2.0,1.0,Gender
2018-06-03,0.0,1.0,0.0,2.0,2.0,1.0,Gender
2018-06-04,1.0,0.0,0.0,2.0,2.0,1.0,Gender
2018-06-05,1.0,0.0,0.0,2.0,2.0,1.0,Gender
2018-06-06,1.0,0.0,0.0,2.0,2.0,1.0,Gender
2018-06-07,1.0,0.0,0.0,1.0,2.0,1.0,Gender
2018-06-08,1.0,0.0,0.0,1.0,2.0,1.0,Gender
2018-06-09,1.0,0.0,0.0,0.0,2.0,1.0,Gender
2018-06-10,1.0,0.0,0.0,0.0,1.0,1.0,Gender
2018-06-11,2.0,0.0,0.0,2.0,4.0,1.0,Gender
2018-06-12,2.0,0.0,0.0,2.0,4.0,0.0,Gender
2018-06-13,2.0,0.0,0.0,2.0,4.0,0.0,Gender
2018-06-14,3.0,0.0,0.0,2.0,4.0,0.0,Gender
2018-06-15,3.0,0.0,0.0,2.0,4.0,0.0,Gender
2018-06-16,3.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-17,3.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-18,2.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-19,2.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-20,2.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-21,2.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-22,2.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-06-23,2.0,0.0,0.0,3.0,3.0,0.0,Gender
2018-06-24,2.0,0.0,0.0,3.0,3.0,0.0,Gender
2018-06-25,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-06-26,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-06-27,1.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-06-28,0.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-06-29,0.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-06-30,0.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-01,0.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-02,0.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-03,0.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-07-04,1.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-07-05,1.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-07-06,1.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-07-07,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-08,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-09,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-10,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-11,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-12,1.0,0.0,0.0,1.0,1.0,0.0,Gender
2018-07-13,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-14,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-15,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-16,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-17,1.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-07-18,0.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-07-19,1.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-20,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-21,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-22,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-23,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-24,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-25,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-07-26,2.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-07-27,2.0,0.0,0.0,1.0,1.0,0.0,Gender
2018-07-28,2.0,0.0,0.0,1.0,1.0,0.0,Gender
2018-07-29,2.0,0.0,0.0,1.0,1.0,0.0,Gender
2018-07-30,2.0,0.0,0.0,1.0,1.0,0.0,Gender
2018-07-31,3.0,0.0,0.0,1.0,1.0,2.0,Gender
2018-08-01,3.0,0.0,0.0,1.0,1.0,2.0,Gender
2018-08-02,3.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-03,2.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-04,2.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-05,3.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-06,3.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-07,3.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-08,5.0,0.0,0.0,0.0,1.0,2.0,Gender
2018-08-09,5.0,0.0,0.0,0.0,0.0,2.0,Gender
2018-08-10,6.0,0.0,0.0,0.0,0.0,2.0,Gender
2018-08-11,6.0,0.0,0.0,0.0,0.0,2.0,Gender
2018-08-12,6.0,0.0,0.0,0.0,0.0,2.0,Gender
2018-08-13,6.0,0.0,0.0,1.0,0.0,2.0,Gender
2018-08-14,5.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-08-15,10.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-08-16,10.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-17,11.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-18,12.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-19,11.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-20,11.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-21,11.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-22,9.0,0.0,1.0,1.0,0.0,0.0,Gender
2018-08-23,9.0,0.0,2.0,4.0,0.0,0.0,Gender
2018-08-24,8.0,0.0,2.0,4.0,0.0,0.0,Gender
2018-08-25,8.0,0.0,2.0,4.0,0.0,0.0,Gender
2018-08-26,8.0,0.0,2.0,5.0,0.0,0.0,Gender
2018-08-27,8.0,0.0,2.0,4.0,0.0,0.0,Gender
2018-08-28,8.0,0.0,2.0,4.0,0.0,0.0,Gender
2018-08-29,4.0,0.0,2.0,4.0,0.0,0.0,Gender
2018-08-30,3.0,0.0,1.0,4.0,0.0,0.0,Gender
2018-08-31,2.0,0.0,1.0,4.0,0.0,0.0,Gender
2018-09-01,1.0,0.0,1.0,5.0,0.0,0.0,Gender
2018-09-02,1.0,0.0,1.0,5.0,0.0,0.0,Gender
2018-09-03,1.0,0.0,1.0,5.0,0.0,0.0,Gender
2018-09-04,1.0,0.0,1.0,5.0,0.0,0.0,Gender
2018-09-05,3.0,0.0,1.0,5.0,0.0,0.0,Gender
2018-09-06,4.0,0.0,0.0,2.0,1.0,0.0,Gender
2018-09-07,5.0,0.0,0.0,2.0,1.0,0.0,Gender
2018-09-08,5.0,0.0,0.0,2.0,1.0,0.0,Gender
2018-09-09,7.0,0.0,0.0,1.0,1.0,0.0,Gender
2018-09-10,8.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-09-11,8.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-09-12,7.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-09-13,7.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-09-14,8.0,0.0,0.0,1.0,3.0,0.0,Gender
2018-09-15,8.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-09-16,8.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-09-17,8.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-09-18,9.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-09-19,7.0,0.0,0.0,0.0,3.0,0.0,Gender
2018-09-20,6.0,0.0,0.0,0.0,2.0,0.0,Gender
2018-09-21,5.0,0.0,0.0,0.0,2.0,0.0,Gender
2018-09-22,6.0,0.0,0.0,0.0,2.0,0.0,Gender
2018-09-23,4.0,0.0,0.0,0.0,2.0,0.0,Gender
2018-09-24,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-09-25,3.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-09-26,4.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-09-27,5.0,0.0,0.0,0.0,0.0,0.0,Gender
2018-09-28,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-09-29,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-09-30,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-10-01,4.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-10-02,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-10-03,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-10-04,3.0,0.0,0.0,1.0,0.0,0.0,Gender
2018-10-05,3.0,0.0,0.0,1.0,0.0,2.0,Gender
2018-10-06,2.0,0.0,0.0,2.0,0.0,2.0,Gender
2018-10-07,2.0,0.0,0.0,2.0,0.0,2.0,Gender
2018-10-08,2.0,0.0,0.0,2.0,0.0,2.0,Gender
2018-10-09,3.0,0.0,0.0,2.0,0.0,2.0,Gender
2018-10-10,4.0,0.0,0.0,4.0,0.0,2.0,Gender
2018-10-11,3.0,0.0,0.0,4.0,0.0,2.0,Gender
2018-10-12,4.0,0.0,0.0,3.0,0.0,2.0,Gender
2018-10-13,5.0,0.0,0.0,3.0,0.0,2.0,Gender
2018-10-14,6.0,0.0,0.0,3.0,0.0,2.0,Gender
2018-10-15,6.0,0.0,0.0,3.0,0.0,2.0,Gender
2018-10-16,6.0,0.0,0.0,4.0,0.0,2.0,Gender
2018-10-17,7.0,0.0,0.0,6.0,1.0,2.0,Gender
2018-10-18,7.0,0.0,0.0,6.0,1.0,2.0,Gender
2018-10-19,8.0,0.0,0.0,6.0,1.0,0.0,Gender
2018-10-20,8.0,0.0,0.0,5.0,1.0,0.0,Gender
2018-10-21,9.0,0.0,0.0,5.0,1.0,0.0,Gender
2018-10-22,9.0,0.0,0.0,5.0,1.0,0.0,Gender
2018-10-23,9.0,0.0,0.0,5.0,1.0,0.0,Gender
2018-10-24,7.0,0.0,0.0,4.0,3.0,0.0,Gender
2018-10-25,7.0,0.0,0.0,4.0,3.0,0.0,Gender
2018-10-26,6.0,0.0,0.0,4.0,3.0,0.0,Gender
2018-10-27,5.0,0.0,0.0,4.0,3.0,0.0,Gender
2018-10-28,4.0,0.0,0.0,4.0,3.0,0.0,Gender
2018-10-29,4.0,0.0,0.0,4.0,3.0,0.0,Gender
2018-10-30,4.0,0.0,0.0,3.0,3.0,0.0,Gender
2018-10-31,3.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-11-01,3.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-11-02,3.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-11-03,4.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-11-04,3.0,0.0,0.0,2.0,2.0,0.0,Gender
2018-11-05,3.0,0.0,0.0,2.0,3.0,0.0,Gender
2018-11-06,2.0,0.0,0.0,2.0,4.0,0.0,Gender
2018-11-07,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-11-08,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-11-09,2.0,0.0,0.0,1.0,2.0,0.0,Gender
2018-11-10,2.0,1.0,0.0,1.0,3.0,0.0,Gender
2018-11-11,2.0,1.0,0.0,1.0,3.0,0.0,Gender
2018-11-12,2.0,1.0,0.0,1.0,4.0,0.0,Gender
2018-11-13,5.0,1.0,0.0,1.0,5.0,0.0,Gender
2018-11-14,5.0,1.0,0.0,0.0,5.0,0.0,Gender
2018-11-15,5.0,1.0,0.0,0.0,5.0,0.0,Gender
2018-11-16,4.0,2.0,0.0,0.0,5.0,0.0,Gender
2018-11-17,3.0,2.0,0.0,0.0,5.0,0.0,Gender
2018-11-18,3.0,2.0,0.0,0.0,5.0,0.0,Gender
2018-11-19,3.0,2.0,0.0,1.0,4.0,0.0,Gender
2018-11-20,3.0,2.0,0.0,1.0,3.0,0.0,Gender
2018-11-21,3.0,2.0,0.0,1.0,3.0,0.0,Gender
2018-11-22,4.0,2.0,0.0,1.0,3.0,0.0,Gender
2018-11-23,4.0,2.0,0.0,1.0,3.0,0.0,Gender
2018-11-24,4.0,1.0,0.0,1.0,2.0,0.0,Gender
2018-11-25,4.0,1.0,1.0,1.0,2.0,0.0,Gender
2018-11-26,4.0,1.0,1.0,1.0,1.0,0.0,Gender
2018-11-27,1.0,1.0,1.0,2.0,0.0,0.0,Gender
2018-11-28,1.0,1.0,1.0,2.0,1.0,0.0,Gender
2018-11-29,1.0,1.0,1.0,2.0,1.0,0.0,Gender
2018-11-30,1.0,0.0,1.0,2.0,1.0,0.0,Gender
2018-12-01,1.0,0.0,1.0,2.0,1.0,0.0,Gender
