,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD,AFD - norm,CDUCSU - norm,FDP - norm,GRUENE - norm,LINKE - norm,SPD - norm
2021-01-01,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,
2021-01-07,0.14285714285714285,1.0,0.42857142857142855,0.14285714285714285,1.0,0.5714285714285714,0.0014144271570014145,0.009101382488479262,0.0035218755205152406,0.0011160714285714285,0.008088627136069634,0.003401360544217687
2021-01-08,0.375,0.875,0.375,0.25,1.0,0.5,0.004758750522939618,0.007963709677419354,0.0030816410804508356,0.0019381009615384616,0.008119215410727597,0.002976190476190476
2021-01-09,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.004230000464835216,0.007872503840245775,0.0027392365159562984,0.002985382672882673,0.008218081366092199,0.0026455026455026454
2021-01-10,0.3,0.8,0.3,0.3,1.0,0.4,0.003807000418351694,0.007085253456221198,0.0024653128643606684,0.0026868444055944056,0.008747624580834331,0.0023809523809523807
2021-01-11,0.2727272727272727,0.7272727272727273,0.45454545454545453,0.36363636363636365,0.9090909090909091,0.45454545454545453,0.0034609094712288128,0.006441139505655635,0.0035492379865672526,0.0033516767323585506,0.007952385982576663,0.0028480291638186372
2021-01-12,0.25,0.75,0.5,0.5,0.9166666666666666,0.5,0.003172500348626412,0.006445503421309873,0.003828180798031476,0.0042061571860679,0.007961730161447965,0.0032017099486304408
2021-01-13,0.23076923076923078,0.7692307692307693,0.6153846153846154,0.7692307692307693,1.0769230769230769,0.6153846153846154,0.002928461860270534,0.0064274785523032365,0.004249268858290235,0.005781941865962013,0.008631340661849403,0.0039479803992320695
2021-01-14,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.7142857142857143,1.0714285714285714,0.7857142857142857,0.003929939766134987,0.005968372941424434,0.003945749654126647,0.005368946018393298,0.008366681212744748,0.0048698341267347555
2021-01-15,0.26666666666666666,0.6666666666666666,0.5333333333333333,0.8,1.0,0.8,0.003667943781725988,0.005570481411996138,0.0036826996771848705,0.0058999051727226335,0.007808902465228431,0.005285919259026512
2021-01-16,0.25,0.625,0.5625,0.75,1.0,0.875,0.0034386972953681138,0.00522232632374638,0.003996009208230382,0.005531161099427469,0.0076115437355702585,0.0058358309954782
2021-01-17,0.23529411764705882,0.5882352941176471,0.5882352941176471,0.7647058823529411,0.9411764705882353,0.9411764705882353,0.0032364209838758717,0.0049151306576436515,0.004187207302545901,0.0058897932098578645,0.007163805868772008,0.006571877634168366
2021-01-18,0.2222222222222222,0.5555555555555556,0.6111111111111112,0.7777777777777778,0.9444444444444444,0.8888888888888888,0.00305661981810499,0.0046420678433301155,0.004245451457640065,0.006021719298750058,0.0071361870242106,0.006206773321159011
2021-01-19,0.21052631578947367,0.5789473684210527,0.7368421052631579,0.7368421052631579,1.0526315789473684,0.8421052631578947,0.0028957450908363063,0.0046747567934041535,0.004978944443123123,0.0057047867040790025,0.007729277600592155,0.005880101041098011
2021-01-20,0.2,0.55,0.75,0.8,1.05,0.8,0.002750957836294491,0.004441018953733946,0.004985099261783294,0.006011263345206413,0.007667489045237871,0.0055860959890431106
2021-01-21,0.19047619047619047,0.5238095238095238,0.7142857142857143,0.7619047619047619,1.0952380952380953,0.8095238095238095,0.0026199598440899913,0.004229541860698996,0.0047477135826507555,0.005725012709720393,0.008013102573289799,0.005791567137136767
2021-01-22,0.18181818181818182,0.5,0.8181818181818182,0.7272727272727273,1.0454545454545454,0.7727272727272727,0.002500870760267719,0.004037289957939951,0.005527263429756544,0.0054647848592785575,0.007648870638140262,0.005528314085448732
2021-01-23,0.17391304347826086,0.5652173913043478,0.8260869565217391,0.6956521739130435,1.0,0.7391304347826086,0.002392137248951731,0.004461455761867599,0.005770039415902394,0.005227185517570794,0.007316311045177643,0.0052879526034727
2021-01-24,0.16666666666666666,0.5416666666666666,0.7916666666666666,0.6666666666666666,0.9583333333333334,0.7083333333333334,0.0022924648635787425,0.004275561771789783,0.005529621106906461,0.005009386121005345,0.007011464751628574,0.005067621244994671
2021-01-25,0.2,0.52,0.76,0.68,1.0,0.72,0.0026308737959173135,0.004104539300918191,0.005308436262630203,0.0050721685709019726,0.007221803707575702,0.005228552758831248
2021-01-26,0.19230769230769232,0.5769230769230769,0.7307692307692307,0.6538461538461539,0.9615384615384616,0.6923076923076923,0.002529686342228186,0.0045000758358303035,0.005104265637144426,0.004877085164328819,0.0069440420265150975,0.005027454575799276
2021-01-27,0.18518518518518517,0.5555555555555556,0.7777777777777778,0.7037037037037037,0.9259259259259259,0.7037037037037037,0.0024359942554789938,0.004333406360429181,0.005276555708397433,0.005086315928223074,0.006686855284792316,0.0050425407992398825
2021-01-28,0.21428571428571427,0.5714285714285714,0.7857142857142857,0.75,0.9642857142857143,0.6785714285714286,0.0029158878846767397,0.004464356133270996,0.005266678718811811,0.005368483680322714,0.00678181739578271,0.004862450056409887
2021-01-29,0.2413793103448276,0.5862068965517241,0.9655172413793104,0.7931034482758621,0.9655172413793104,0.7241379310344828,0.0031942714399986103,0.004638820043289566,0.006034135858846455,0.005634118568064572,0.006794267042233553,0.005173706567874681
2021-01-30,0.23333333333333334,0.5666666666666667,0.9333333333333333,0.7666666666666667,0.9333333333333333,0.7,0.00308779572533199,0.004484192708513247,0.005832997996884907,0.005446314615795754,0.006567791474159102,0.005001249682278858
2021-01-31,0.22580645161290322,0.5483870967741935,0.9032258064516129,0.7419354838709677,0.9032258064516129,0.6774193548387096,0.0029881894116116033,0.004339541330819271,0.005644836771178942,0.0052706270475442775,0.006355927233057195,0.0048399190473666365
2021-02-01,0.21875,0.53125,0.90625,0.71875,0.875,0.6875,0.0028948084924987406,0.004203930664231169,0.005706985240400211,0.005105919952308519,0.006157304507024158,0.004910302782810188
2021-02-02,0.24242424242424243,0.5151515151515151,0.8787878787878788,0.696969696969697,0.8787878787878788,0.6666666666666666,0.0032338902667337337,0.004076538825921134,0.005534046293721417,0.004951195105268867,0.006170081563430124,0.004761505728785637
2021-02-03,0.23529411764705882,0.5,0.8823529411764706,0.7352941176470589,0.9117647058823529,0.7058823529411765,0.0031387758471239182,0.003956640625158748,0.005557430635789924,0.0052651305433491944,0.006330605840292302,0.005084638839587912
2021-02-04,0.22857142857142856,0.5142857142857142,0.8571428571428571,0.7714285714285715,0.9428571428571428,0.7142857142857143,0.003049096537206092,0.004141212797773259,0.005398646903338783,0.0055948903189413784,0.006518394982182568,0.005109431471382
2021-02-05,0.2222222222222222,0.5833333333333334,0.8888888888888888,0.7777777777777778,0.9166666666666666,0.6944444444444444,0.0029643994111725894,0.004812342630958802,0.005727611692422284,0.0057662740845917,0.006337328454899719,0.004967502819399166
